objective,rule,rate,equity,domestic,cec_fixed,cec_mortality,ruin_fixed,ruin_mortality
fixed horizon,gompertz,,1.0,0.1,1.380609995035923,1.384369511575113,0.0,0.0
survival-weighted,amortisation (6% assumed return),,1.0,0.1,1.363088737295234,1.4232019602170496,0.0,0.0
