equity,domestic,rule,rule_label,rate,has_rate,assumed_return,has_assumed_return,label,front_load,reads_mortality,cec_fixed,cec_mortality,ruin_fixed,ruin_mortality,mean_consumption,cec_mortality_theta0,cec_mortality_theta1,cec_mortality_theta2,cec_mortality_theta5,cec_mortality_theta10
0.7,0.0,constant_real,constant_real,0.03,True,,False,"constant_real @ 3.0%, 70% equity / 0% domestic",0.03,False,0.9536644426432486,0.9641176654968493,0.031,0.015403093975141547,1.3495031954482843,0.9494107436723617,0.9568517841173864,0.9641176654968493,0.9849520588058138,1.0168989044680188
0.7,0.0,constant_real,constant_real,0.035,True,,False,"constant_real @ 3.5%, 70% equity / 0% domestic",0.035,False,0.994206803707197,1.0094774802495374,0.05928,0.028607856022793247,1.3943308962247367,0.9943032097700335,1.0019828497907453,1.0094774802495374,1.0309437644511088,1.0637861443525387
0.7,0.0,constant_real,constant_real,0.04,True,,False,"constant_real @ 4.0%, 70% equity / 0% domestic",0.04,False,1.0212634899198396,1.045678054975278,0.1056,0.05085153428952761,1.4366350662816432,1.030388972501454,1.0381307006139853,1.045678054975278,1.0672508815456894,1.1001214594899955
0.7,0.0,constant_real,constant_real,0.045,True,,False,"constant_real @ 4.5%, 70% equity / 0% domestic",0.045,False,1.0277398443581476,1.0669498820287484,0.17296,0.08554349479579669,1.474626663131355,1.0520271769535183,1.0595893941869754,1.0669498820287484,1.087921994636794,1.119677806393173
0.7,0.0,constant_real,constant_real,0.05,True,,False,"constant_real @ 5.0%, 70% equity / 0% domestic",0.05,False,1.0146043755217586,1.0703348898229832,0.25428,0.13029497171290946,1.5071434184549803,1.0561934726533921,1.0633667010741676,1.0703348898229832,1.0901130899366331,1.1198365216606305
0.7,0.0,constant_real,constant_real,0.06,True,,False,"constant_real @ 6.0%, 70% equity / 0% domestic",0.06,False,0.9527828555072241,1.0311551934270884,0.42916,0.2412342643904177,1.553615274042589,1.018871980816268,1.0251127415830155,1.0311551934270884,1.0481964784382636,1.0734916585833696
0.7,0.0,constant_real,constant_real,0.07,True,,False,"constant_real @ 7.0%, 70% equity / 0% domestic",0.07,False,0.8842587272674342,0.9664916689678562,0.598,0.3639630557666118,1.5764892105424482,0.9555491680909113,0.9611128334322193,0.9664916689678562,0.9816177477014076,1.0039465775884544
0.7,0.0,constant_real,constant_real,0.08,True,,False,"constant_real @ 8.0%, 70% equity / 0% domestic",0.08,False,0.8257418803506775,0.9024988404628272,0.73964,0.4849921762985726,1.578453989941327,0.8923586613219195,0.8975149422577912,0.9024988404628272,0.9165084180244206,0.9371725427312247
0.7,0.0,constant_real,constant_real,0.09,True,,False,"constant_real @ 9.0%, 70% equity / 0% domestic",0.09,False,0.7801933322323132,0.8485397664331253,0.85068,0.595033510340861,1.5650872136676928,0.838887919025908,0.8437950354546995,0.8485397664331253,0.8618860793394539,0.8815973228855967
0.7,0.0,constant_real,constant_real,0.1,True,,False,"constant_real @ 10.0%, 70% equity / 0% domestic",0.1,False,0.745943647870773,0.8059451355813803,0.92076,0.6840077152766237,1.544925973206124,0.7965990785778818,0.801349417426802,0.8059451355813803,0.8188862771470535,0.8380386719571675
