system,rule,strategy,fraction,treatment,assessed,cec,cec_survival,prob_ruin,prob_ruin_survival,mean_consumption,p5_consumption,median_bequest,moneys_worth
us_social_security,fixed_real_rule,balanced_all_equity,0.0,exempt from the assets test,0.0,1.0479618872418284,1.0785104726241281,0.11592,0.05824817845075118,1.7334946912291456,0.7060061347011013,45.3073689533057,1.0
us_social_security,fixed_real_rule,target_date_fund,0.0,exempt from the assets test,0.0,0.9449159895762623,0.9761877399379453,0.21892,0.111136015834872,1.4228965458247633,0.6314716085587018,9.647987242658953,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.1,exempt from the assets test,0.0,1.095994711562323,1.1172169365023803,0.11592,0.05824817845075118,1.7930986509299802,0.7396693449278108,40.776632057975114,1.0
us_social_security,fixed_real_rule,target_date_fund,0.1,exempt from the assets test,0.0,0.9863529587465498,1.010097241224806,0.21892,0.111136015834872,1.4682355202356159,0.6686886011353043,8.683188518393033,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.25,exempt from the assets test,0.0,1.1415571259057902,1.1573096167295776,0.11592,0.05824817845075118,1.8825045904812334,0.7757628842928935,33.98052671497928,1.0
us_social_security,fixed_real_rule,target_date_fund,0.25,exempt from the assets test,0.0,1.0294787931949547,1.0473848282937233,0.21892,0.111136015834872,1.536243981851896,0.7085322976211539,7.235990431994236,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.5,exempt from the assets test,0.0,1.2009075458723195,1.2131598980013374,0.11592,0.05824817845075118,2.03151448973332,0.8213691097691548,22.65368447665285,1.0
us_social_security,fixed_real_rule,target_date_fund,0.5,exempt from the assets test,0.0,1.0848614659188933,1.0980301965360195,0.21892,0.111136015834872,1.6495914178790294,0.7503698501603802,4.8239936213294765,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.75,exempt from the assets test,0.0,1.2532266137729353,1.263969452179476,0.11592,0.05824817845075118,2.1805243889854067,0.8582641790964937,11.326842238326424,1.0
us_social_security,fixed_real_rule,target_date_fund,0.75,exempt from the assets test,0.0,1.1319154352797534,1.14255084108255,0.21892,0.111136015834872,1.7629388539061623,0.7853964698077582,2.411996810664739,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.9,exempt from the assets test,0.0,1.2825210799860074,1.291917609939107,0.11592,0.05824817845075118,2.2699303285366588,0.8783992518022288,4.530736895330573,1.0
us_social_security,fixed_real_rule,target_date_fund,0.9,exempt from the assets test,0.0,1.157428752898734,1.16624492848397,0.21892,0.111136015834872,1.830947315522441,0.8045374774394637,0.9647987242658891,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.95,exempt from the assets test,0.0,1.2913460855017282,1.2988259335284535,0.11592,0.05824817845075118,2.2997323083870755,0.8849223764505939,2.265368447665287,1.0
us_social_security,fixed_real_rule,target_date_fund,0.95,exempt from the assets test,0.0,1.1647973686403035,1.1717402990002648,0.21892,0.111136015834872,1.8536168027278694,0.8107509832939834,0.48239936213294565,1.0
us_social_security,fixed_real_rule,balanced_all_equity,1.0,exempt from the assets test,0.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,fixed_real_rule,target_date_fund,1.0,exempt from the assets test,0.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.0,assessed at its remaining value,1.0,1.0479618872418284,1.0785104726241281,0.11592,0.05824817845075118,1.7334946912291456,0.7060061347011013,45.3073689533057,1.0
us_social_security,fixed_real_rule,target_date_fund,0.0,assessed at its remaining value,1.0,0.9449159895762623,0.9761877399379453,0.21892,0.111136015834872,1.4228965458247633,0.6314716085587018,9.647987242658953,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.1,assessed at its remaining value,1.0,1.095994711562323,1.1172169365023803,0.11592,0.05824817845075118,1.7930986509299802,0.7396693449278108,40.776632057975114,1.0
us_social_security,fixed_real_rule,target_date_fund,0.1,assessed at its remaining value,1.0,0.9863529587465498,1.010097241224806,0.21892,0.111136015834872,1.4682355202356159,0.6686886011353043,8.683188518393033,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.25,assessed at its remaining value,1.0,1.1415571259057902,1.1573096167295776,0.11592,0.05824817845075118,1.8825045904812334,0.7757628842928935,33.98052671497928,1.0
us_social_security,fixed_real_rule,target_date_fund,0.25,assessed at its remaining value,1.0,1.0294787931949547,1.0473848282937233,0.21892,0.111136015834872,1.536243981851896,0.7085322976211539,7.235990431994236,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.5,assessed at its remaining value,1.0,1.2009075458723195,1.2131598980013374,0.11592,0.05824817845075118,2.03151448973332,0.8213691097691548,22.65368447665285,1.0
us_social_security,fixed_real_rule,target_date_fund,0.5,assessed at its remaining value,1.0,1.0848614659188933,1.0980301965360195,0.21892,0.111136015834872,1.6495914178790294,0.7503698501603802,4.8239936213294765,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.75,assessed at its remaining value,1.0,1.2532266137729353,1.263969452179476,0.11592,0.05824817845075118,2.1805243889854067,0.8582641790964937,11.326842238326424,1.0
us_social_security,fixed_real_rule,target_date_fund,0.75,assessed at its remaining value,1.0,1.1319154352797534,1.14255084108255,0.21892,0.111136015834872,1.7629388539061623,0.7853964698077582,2.411996810664739,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.9,assessed at its remaining value,1.0,1.2825210799860074,1.291917609939107,0.11592,0.05824817845075118,2.2699303285366588,0.8783992518022288,4.530736895330573,1.0
us_social_security,fixed_real_rule,target_date_fund,0.9,assessed at its remaining value,1.0,1.157428752898734,1.16624492848397,0.21892,0.111136015834872,1.830947315522441,0.8045374774394637,0.9647987242658891,1.0
us_social_security,fixed_real_rule,balanced_all_equity,0.95,assessed at its remaining value,1.0,1.2913460855017282,1.2988259335284535,0.11592,0.05824817845075118,2.2997323083870755,0.8849223764505939,2.265368447665287,1.0
us_social_security,fixed_real_rule,target_date_fund,0.95,assessed at its remaining value,1.0,1.1647973686403035,1.1717402990002648,0.21892,0.111136015834872,1.8536168027278694,0.8107509832939834,0.48239936213294565,1.0
us_social_security,fixed_real_rule,balanced_all_equity,1.0,assessed at its remaining value,1.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,fixed_real_rule,target_date_fund,1.0,assessed at its remaining value,1.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.0,exempt from the assets test,0.0,1.1281165718858748,1.1332774283837341,0.0,0.0,2.4132194494062005,0.7637519566128143,36.966802343752896,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.0,exempt from the assets test,0.0,0.9581987033875073,0.9763525104979293,0.0,0.0,1.4920989768542556,0.6518069903728645,13.394411807599305,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.1,exempt from the assets test,0.0,1.162035905135427,1.1655017161865053,0.0,0.0,2.404850933289331,0.7892280872968717,33.27012210937762,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.1,exempt from the assets test,0.0,0.991226304018225,1.0069267783451086,0.0,0.0,1.5305177081621593,0.6794070509165923,12.05497062683937,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.25,exempt from the assets test,0.0,1.2038366018145443,1.2059007187082076,0.0,0.0,2.392298159114024,0.8215959908485113,27.725101757814684,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.25,exempt from the assets test,0.0,1.0332595283487218,1.0463680218172475,0.0,0.0,1.5881458051240152,0.7131556286510691,10.045808855699473,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.5,exempt from the assets test,0.0,1.2568648977227392,1.2586117353913027,0.0,0.0,2.371376868821847,0.8606467271004754,18.483401171876448,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.5,exempt from the assets test,0.0,1.0914001592870433,1.1017768392323586,0.0,0.0,1.6841926333937747,0.7555804057714616,6.697205903799652,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.75,exempt from the assets test,0.0,1.292273316216624,1.295920239347789,0.0,0.0,2.35045557852967,0.8872317873363961,9.241700585938224,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.75,exempt from the assets test,0.0,1.1392831337164158,1.148124326101557,0.0,0.0,1.780239461663535,0.789822888222327,3.3486029518998253,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.9,exempt from the assets test,0.0,1.303499892414697,1.3091265270350485,0.0,0.0,2.3379028043543646,0.8936642996032818,3.6966802343752905,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.9,exempt from the assets test,0.0,1.163133263374487,1.1708935407224732,0.0,0.0,1.8378675586253908,0.8073444816868813,1.3394411807599305,1.0
