system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,gamma
age_pension_matched,fixed_real_rule,0.4129805244728724,0.47503031130224693,-13.062279469971372,target_date_fund,target_date_fund,0.47503031130224693,5.0
age_pension_matched,constant_percent at 4%,0.6741219454114566,0.5951935377755629,13.260965152759475,balanced_all_equity,international_equity,0.7137334905128867,5.0
age_pension_matched,amortisation at 0%,0.7275549600457073,0.6552123796620679,11.041088756740347,balanced_all_equity,international_equity,0.7647757422287584,5.0
age_pension_matched,amortisation at 2%,0.8694815976597449,0.7648734826513867,13.676525253005334,balanced_all_equity,international_equity,0.9203459317524468,5.0
age_pension_matched,amortisation at 4%,0.9768030363130554,0.8356201495946631,16.895581896496424,balanced_all_equity,international_equity,1.0430289204734762,5.0
age_pension_matched,amortisation at 6%,1.0313238541990613,0.8616385155689527,19.693332594128865,balanced_all_equity,international_equity,1.1109680332891951,5.0
age_pension_matched,amortisation at 8%,1.0309316602538252,0.851377985971251,21.089771786586596,balanced_all_equity,international_equity,1.1165720706332145,5.0
age_pension_matched,amortisation at 10%,0.9901785281519453,0.8194126864110691,20.840029032112064,balanced_all_equity,international_equity,1.0721722175819701,5.0
age_pension_untested,fixed_real_rule,0.9089219194262154,0.8059253553995984,12.779913590824865,balanced_all_equity,international_equity,0.9664877362250611,5.0
age_pension_untested,constant_percent at 4%,1.0084486089782714,0.8373237793036286,20.43711571370408,balanced_all_equity,international_equity,1.0959521967834662,5.0
age_pension_untested,amortisation at 0%,1.0770642997797264,0.9070503865531022,18.743601871192283,balanced_all_equity,international_equity,1.1601179043132956,5.0
age_pension_untested,amortisation at 2%,1.1252095651165543,0.9292536417610163,21.087452827646125,balanced_all_equity,international_equity,1.2202043129328346,5.0
age_pension_untested,amortisation at 4%,1.1423102686472202,0.9296244225838236,22.87868529446029,balanced_all_equity,international_equity,1.2457608751756055,5.0
age_pension_untested,amortisation at 6%,1.1246972711324779,0.9092578423006897,23.693986326987627,balanced_all_equity,international_equity,1.230480217583282,5.0
age_pension_untested,amortisation at 8%,1.0772648039068782,0.8733570826995001,23.347577439586352,balanced_all_equity,international_equity,1.1778551838154638,5.0
age_pension_untested,amortisation at 10%,1.0110498270370862,0.829009921473087,21.958712537544578,balanced_all_equity,international_equity,1.1001917365489498,5.0
australia_as_legislated,fixed_real_rule,0.64111077903984,0.6546978833282056,-2.0753243036764513,target_date_fund,target_date_fund,0.6546978833282056,5.0
australia_as_legislated,constant_percent at 4%,0.8615210457013636,0.7274447158764656,18.43113667591294,balanced_all_equity,international_equity,0.9490936310185639,5.0
australia_as_legislated,amortisation at 0%,0.9449560370302699,0.8259041105229673,14.41473955516679,balanced_all_equity,international_equity,1.027587017202228,5.0
australia_as_legislated,amortisation at 2%,1.1329346459702474,0.963744003990824,17.555558455234156,balanced_all_equity,international_equity,1.2321784782559242,5.0
australia_as_legislated,amortisation at 4%,1.2721130858206227,1.047592601310882,21.43204182893157,balanced_all_equity,international_equity,1.3842525986474226,5.0
australia_as_legislated,amortisation at 6%,1.3361507086736706,1.0700553077456825,24.867443673409674,balanced_all_equity,international_equity,1.4578544088786938,5.0
australia_as_legislated,amortisation at 8%,1.3216697270734326,1.0437311844775523,26.629322447139913,balanced_all_equity,international_equity,1.4476316262798867,5.0
australia_as_legislated,amortisation at 10%,1.249262500570775,0.9885445012462231,26.373926413618598,balanced_all_equity,international_equity,1.3701295661828776,5.0
us_matched_saving,fixed_real_rule,1.27704444218058,1.1091522553651552,15.136982862659497,balanced_all_equity,international_equity,1.366192887162388,5.0
us_matched_saving,constant_percent at 4%,1.481011801358257,1.191628907963812,24.284648640231964,balanced_all_equity,international_equity,1.6290834313240679,5.0
us_matched_saving,amortisation at 0%,1.5380438946110424,1.2830194082181159,19.876900127887364,balanced_all_equity,international_equity,1.647986917866591,5.0
us_matched_saving,amortisation at 2%,1.6032698955295468,1.3126377297919412,22.141079685685416,balanced_all_equity,international_equity,1.72384845153536,5.0
us_matched_saving,amortisation at 4%,1.621930284824548,1.308687940774657,23.93560254436762,balanced_all_equity,international_equity,1.7518862977670384,5.0
us_matched_saving,amortisation at 6%,1.591265458649952,1.2739658673113246,24.906443687402778,balanced_all_equity,international_equity,1.7277007368354311,5.0
us_matched_saving,amortisation at 8%,1.518278415159963,1.2163824246717947,24.819167423405197,balanced_all_equity,international_equity,1.6544364389743405,5.0
us_matched_saving,amortisation at 10%,1.4175214614476714,1.1462109471599795,23.670207910675668,balanced_all_equity,international_equity,1.544130230192238,5.0
us_social_security,fixed_real_rule,1.0493326019515596,0.9446112745066872,11.086182249895549,balanced_all_equity,international_equity,1.1094293553441226,5.0
us_social_security,constant_percent at 4%,1.129776498110558,0.9580606993299128,17.9232692563996,balanced_all_equity,international_equity,1.2191390291169464,5.0
us_social_security,amortisation at 0%,1.1919779636948156,1.024133790486841,16.38889125298626,balanced_all_equity,international_equity,1.2751397476773185,5.0
us_social_security,amortisation at 2%,1.238469240333833,1.0476490118615316,18.214137207387758,balanced_all_equity,international_equity,1.3328704157147624,5.0
us_social_security,amortisation at 4%,1.2566698605070818,1.0507153048194469,19.601366301885736,balanced_all_equity,international_equity,1.3588897724344229,5.0
us_social_security,amortisation at 6%,1.2431410086727492,1.033845582770962,20.244360414136864,balanced_all_equity,international_equity,1.3474845436465455,5.0
us_social_security,amortisation at 8%,1.2016710709150793,1.0016281239033653,19.971778171737277,balanced_all_equity,international_equity,1.3012341834790224,5.0
us_social_security,amortisation at 10%,1.1416126879739497,0.9607363255172283,18.826847455709927,balanced_all_equity,international_equity,1.2305332865816445,5.0
age_pension_matched,fixed_real_rule,0.7757307878122673,0.7006916986465384,10.709287595482442,balanced_all_equity,international_equity,0.8438606140744006,2.0
age_pension_matched,constant_percent at 4%,0.9489899287229242,0.7166399365807322,32.4221384103699,balanced_all_equity,international_equity,1.0730757736229501,2.0
age_pension_matched,amortisation at 0%,1.1108534697631582,0.8526463375182196,30.283028365136346,balanced_all_equity,international_equity,1.2466869505484388,2.0
age_pension_matched,amortisation at 2%,1.243383869341765,0.9449668859431728,31.579623353758237,balanced_all_equity,international_equity,1.3995495587070976,2.0
age_pension_matched,amortisation at 4%,1.3359408057159294,1.0101717047224594,32.248883973935285,balanced_all_equity,international_equity,1.5056032634523753,2.0
age_pension_matched,amortisation at 6%,1.3834238449724938,1.0460231547893617,32.25556610657196,balanced_all_equity,international_equity,1.5580940275394246,2.0
age_pension_matched,amortisation at 8%,1.3876209342848809,1.0543502856805496,31.609101181133138,balanced_all_equity,international_equity,1.5586403147326,2.0
age_pension_matched,amortisation at 10%,1.3558295275526404,1.040253657375213,30.336434574399295,balanced_all_equity,international_equity,1.5159895266982542,2.0
age_pension_untested,fixed_real_rule,1.221335221665122,1.034391613404462,18.07280780684004,balanced_all_equity,international_equity,1.3323270776035352,2.0
age_pension_untested,constant_percent at 4%,1.3995199544403722,1.0522320073890394,33.00488339193153,balanced_all_equity,international_equity,1.5772856431834503,2.0
age_pension_untested,amortisation at 0%,1.5415331594509698,1.1661299121046955,32.19223205317887,balanced_all_equity,international_equity,1.7303702497259243,2.0
age_pension_untested,amortisation at 2%,1.6111752910502528,1.2023423847282566,34.00303536786631,balanced_all_equity,international_equity,1.818642797158946,2.0
age_pension_untested,amortisation at 4%,1.639965945620431,1.2134560777864554,35.148356470553125,balanced_all_equity,international_equity,1.8576351478705595,2.0
age_pension_untested,amortisation at 6%,1.6251058468497002,1.1997545397375273,35.453194217979615,balanced_all_equity,international_equity,1.8427430412011923,2.0
age_pension_untested,amortisation at 8%,1.5713064054174641,1.1656236562650466,34.8039220868533,balanced_all_equity,international_equity,1.77873136447944,2.0
age_pension_untested,amortisation at 10%,1.4890343284194765,1.117868870228229,33.20295144415899,balanced_all_equity,international_equity,1.6780331319729687,2.0
australia_as_legislated,fixed_real_rule,1.3292844922094458,1.090359701856002,21.91247438315518,balanced_all_equity,international_equity,1.5002562558737704,2.0
australia_as_legislated,constant_percent at 4%,1.5627295656331242,1.0741929907805454,45.47940445018091,balanced_all_equity,international_equity,1.8520590716759804,2.0
australia_as_legislated,amortisation at 0%,1.8090587770336828,1.2979700610618228,39.37600190514077,balanced_all_equity,international_equity,2.1034627869666807,2.0
australia_as_legislated,amortisation at 2%,2.0164834818198907,1.4304575395140897,40.96772718642647,balanced_all_equity,international_equity,2.3463221754726016,2.0
australia_as_legislated,amortisation at 4%,2.145221869898703,1.5108823889428178,41.984702819902495,balanced_all_equity,international_equity,2.494497575057758,2.0
