dropped,system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,n_markets
AUS,australia_as_legislated,fixed_real_rule,0.6201059923290732,0.6428354798928574,-3.535817215249626,target_date_fund,target_date_fund,0.6428354798928574,15
AUS,australia_as_legislated,constant_percent at 4%,0.8456278065248277,0.718722347839177,17.657090956916697,balanced_all_equity,international_equity,0.925012420506788,15
AUS,australia_as_legislated,amortisation at 0%,0.9292467242096171,0.8157589842024845,13.911920334911464,balanced_all_equity,international_equity,1.0044974649989478,15
AUS,australia_as_legislated,amortisation at 2%,1.1131094579014895,0.9514699148339969,16.988402948683245,balanced_all_equity,international_equity,1.2028926483902034,15
AUS,australia_as_legislated,amortisation at 4%,1.2487207266602753,1.0338174038122518,20.78735781150105,balanced_all_equity,international_equity,1.3494070590668885,15
AUS,australia_as_legislated,amortisation at 6%,1.3106377747689957,1.0558202633490295,24.134553982861906,balanced_all_equity,international_equity,1.4192592816075784,15
AUS,australia_as_legislated,amortisation at 8%,1.2960576071270606,1.0300807155825524,25.820975727527085,balanced_all_equity,international_equity,1.4083781487555074,15
AUS,australia_as_legislated,amortisation at 10%,1.2254490199362806,0.9763490963151921,25.513407505697373,balanced_all_equity,international_equity,1.3340006612074218,15
AUS,us_social_security,fixed_real_rule,1.0314659003497058,0.932680227310637,10.591590788186323,balanced_all_equity,international_equity,1.0874410516006274,15
AUS,us_social_security,constant_percent at 4%,1.1112701088061268,0.9466280471523996,17.392476606730114,balanced_all_equity,international_equity,1.1933146103040877,15
AUS,us_social_security,amortisation at 0%,1.1732478744308161,1.0117074357177869,15.967109957872294,balanced_all_equity,international_equity,1.2502148329341713,15
AUS,us_social_security,amortisation at 2%,1.2176160024286973,1.0342365878894553,17.73089607218987,balanced_all_equity,international_equity,1.3038812266853705,15
AUS,us_social_security,amortisation at 4%,1.234785751819346,1.037065761271502,19.065328152905934,balanced_all_equity,international_equity,1.3273687055167298,15
AUS,us_social_security,amortisation at 6%,1.2215270977203128,1.0207602653189025,19.668362809820717,balanced_all_equity,international_equity,1.315805083828855,15
AUS,us_social_security,amortisation at 8%,1.1815857188988097,0.9897869355238789,19.377784904123295,balanced_all_equity,international_equity,1.2720253306815847,15
AUS,us_social_security,amortisation at 10%,1.1240144836820687,0.9505496312243975,18.2489000847049,balanced_all_equity,international_equity,1.205765205265897,15
BEL,australia_as_legislated,fixed_real_rule,0.6402880707538453,0.6531540391339117,-1.9698214523983903,target_date_fund,target_date_fund,0.6531540391339117,15
BEL,australia_as_legislated,constant_percent at 4%,0.874359042876346,0.7316513993542552,19.504868527285346,balanced_all_equity,international_equity,0.9682895063320051,15
BEL,australia_as_legislated,amortisation at 0%,0.9582419822303734,0.8302653473166534,15.41394390688826,balanced_all_equity,international_equity,1.0452696906998957,15
BEL,australia_as_legislated,amortisation at 2%,1.1481414245307184,0.9680497865168193,18.60355123488995,balanced_all_equity,international_equity,1.2531808653524217,15
BEL,australia_as_legislated,amortisation at 4%,1.2883375510906356,1.0513055233580557,22.54644558277006,balanced_all_equity,international_equity,1.4071959817455661,15
BEL,australia_as_legislated,amortisation at 6%,1.3528567699081697,1.073158680026292,26.063069244804062,balanced_all_equity,international_equity,1.4817865774620502,15
BEL,australia_as_legislated,amortisation at 8%,1.3383799523081952,1.0465235475235481,27.88818325925724,balanced_all_equity,international_equity,1.4720310753665302,15
BEL,australia_as_legislated,amortisation at 10%,1.2650471641605923,0.9912407101880694,27.622599753855283,balanced_all_equity,international_equity,1.393842780181527,15
BEL,us_social_security,fixed_real_rule,1.0561274503422386,0.9450326087424626,11.755662246153364,balanced_all_equity,international_equity,1.1235301094613661,15
BEL,us_social_security,constant_percent at 4%,1.141681194663801,0.9601421428065194,18.907518352088836,balanced_all_equity,international_equity,1.2371947038150102,15
BEL,us_social_security,amortisation at 0%,1.2026199547876866,1.0262004859639648,17.191520685940965,balanced_all_equity,international_equity,1.2909010847281304,15
BEL,us_social_security,amortisation at 2%,1.2506446190099223,1.0497373824421967,19.138809375380927,balanced_all_equity,international_equity,1.3507470940046697,15
BEL,us_social_security,amortisation at 4%,1.2700372632914159,1.052810043605249,20.633087707094113,balanced_all_equity,international_equity,1.378379072390888,15
BEL,us_social_security,amortisation at 6%,1.2570254079695653,1.0359310665150443,21.34257274456497,balanced_all_equity,international_equity,1.3677585410624071,15
BEL,us_social_security,amortisation at 8%,1.2151996062364805,1.0036596359903074,21.076863376840627,balanced_all_equity,international_equity,1.3211798126392054,15
BEL,us_social_security,amortisation at 10%,1.1540065814661014,0.962640047663379,19.879344752717,balanced_all_equity,international_equity,1.2490065735317983,15
CHE,australia_as_legislated,fixed_real_rule,0.6278502052145081,0.6476492352301403,-3.057060664727984,target_date_fund,target_date_fund,0.6476492352301403,15
CHE,australia_as_legislated,constant_percent at 4%,0.8572745188920438,0.7229454068461196,18.580809944134046,balanced_all_equity,international_equity,0.9441819428980675,15
CHE,australia_as_legislated,amortisation at 0%,0.9408192466860061,0.8198214485330905,14.759042761008212,balanced_all_equity,international_equity,1.022495993217043,15
CHE,australia_as_legislated,amortisation at 2%,1.126733668589936,0.9560096019756403,17.857986599871612,balanced_all_equity,international_equity,1.2250842265292483,15
CHE,australia_as_legislated,amortisation at 4%,1.2636351669793318,1.0384560913394565,21.684024728424212,balanced_all_equity,international_equity,1.3749056232667227,15
CHE,australia_as_legislated,amortisation at 6%,1.3260196455814657,1.0603340803211605,25.056778820108526,balanced_all_equity,international_equity,1.4470228115984671,15
CHE,australia_as_legislated,amortisation at 8%,1.3113037720338219,1.0344917108741554,26.758267683532978,balanced_all_equity,international_equity,1.436787005086752,15
CHE,australia_as_legislated,amortisation at 10%,1.2400267878801394,0.9806764714165996,26.44606289869531,balanced_all_equity,international_equity,1.360789424460349,15
CHE,us_social_security,fixed_real_rule,1.0429037694850896,0.9367253499657706,11.335064170431487,balanced_all_equity,international_equity,1.1051982187869225,15
CHE,us_social_security,constant_percent at 4%,1.124020868359643,0.9516743708511534,18.109818104521125,balanced_all_equity,international_equity,1.2132001903876375,15
CHE,us_social_security,amortisation at 0%,1.1854537797201499,1.016810369890686,16.585532054280105,balanced_all_equity,international_equity,1.268787341060144,15
CHE,us_social_security,amortisation at 2%,1.2311884659457346,1.0395707141542607,18.432392254081908,balanced_all_equity,international_equity,1.3254253079787959,15
CHE,us_social_security,amortisation at 4%,1.2491919916332126,1.0424876468507698,19.827989847829073,balanced_all_equity,international_equity,1.3508860632430002,15
CHE,us_social_security,amortisation at 6%,1.2360849978226431,1.0261247372713422,20.461475386474405,balanced_all_equity,international_equity,1.3396974227622727,15
CHE,us_social_security,amortisation at 8%,1.1955367742774088,0.9949253531785779,20.163464571278578,balanced_all_equity,international_equity,1.2944480989532798,15
CHE,us_social_security,amortisation at 10%,1.1366665350169338,0.955284194411346,18.987264906791125,balanced_all_equity,international_equity,1.2252470033301208,15
DEU,australia_as_legislated,fixed_real_rule,0.6323097197626778,0.6395711646165345,-1.1353615133994355,target_date_fund,target_date_fund,0.6395711646165345,15
DEU,australia_as_legislated,constant_percent at 4%,0.8214676612385369,0.707228541605838,16.15306975214925,balanced_all_equity,international_equity,0.8688724802243016,15
DEU,australia_as_legislated,amortisation at 0%,0.9050013557002068,0.8024154280148172,12.784640487183552,balanced_all_equity,international_equity,0.9521435603057246,15
DEU,australia_as_legislated,amortisation at 2%,1.0833458873295152,0.9362320115383135,15.713399454210109,balanced_all_equity,international_equity,1.1414856422617474,15
