rule,age_pension_matched,age_pension_untested,australia_as_legislated,us_matched_saving,us_social_security
amortisation at 0%,11.041088756740347,18.743601871192283,14.41473955516679,19.876900127887364,16.38889125298626
amortisation at 10%,20.840029032112064,21.958712537544578,26.373926413618598,23.670207910675668,18.826847455709927
amortisation at 2%,13.676525253005334,21.087452827646125,17.555558455234156,22.141079685685416,18.214137207387758
amortisation at 4%,16.895581896496424,22.87868529446029,21.43204182893157,23.93560254436762,19.601366301885736
amortisation at 6%,19.693332594128865,23.693986326987627,24.867443673409674,24.906443687402778,20.244360414136864
amortisation at 8%,21.089771786586596,23.347577439586352,26.629322447139913,24.819167423405197,19.971778171737277
constant_percent at 4%,13.260965152759475,20.43711571370408,18.43113667591294,24.284648640231964,17.9232692563996
fixed_real_rule,-13.062279469971372,12.779913590824865,-2.0753243036764513,15.136982862659497,11.086182249895549
