incidence,equity,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.0,0.0,11.568013586357482,3.014330021789434,6.767475613460695,0.04148,0.16932,0.7892,0.5626828396135758,0.6767839650611204,0.45992,0.9052936616053867,0.441239257267975,1.3862492585211585
0.0,0.05,12.324018258279402,3.014330021789434,6.767475613460695,0.03532,0.14884,0.81584,0.5688406012363979,0.6792821207772745,0.419,0.9456586394827353,0.44323966804091286,1.3862492585211585
0.0,0.1,13.137497651795941,3.014330021789434,6.767475613460695,0.02956,0.12968,0.84076,0.5748750035013326,0.6816443631476539,0.37756,0.990094141470443,0.44546113255317715,1.3862492585211585
0.0,0.15,13.970296528389992,3.014330021789434,6.767475613460695,0.0236,0.1138,0.8626,0.5827693861188065,0.684610870634068,0.34136,1.0388646093745515,0.44836756031566777,1.3862492585211585
0.0,0.2,14.884142992075242,3.014330021789434,6.767475613460695,0.01868,0.09912,0.8822,0.5899323863042416,0.6871856026125426,0.30392,1.092684777450558,0.4492869049050311,1.3862492585211585
0.0,0.25,15.819830081260863,3.014330021789434,6.767475613460695,0.01472,0.08548,0.8998,0.6015026575940862,0.6911207478421209,0.27,1.1515117183484997,0.4492869049050311,1.3862492585211585
0.0,0.3,16.806143404758863,3.014330021789434,6.767475613460695,0.012,0.07412,0.91388,0.6116529651827326,0.6943573423897633,0.23868,1.215463187418439,0.4492869049050311,1.3862492585211585
0.0,0.35,17.853750775054134,3.014330021789434,6.767475613460695,0.0098,0.06288,0.92732,0.621087739524769,0.6971955409347491,0.21084,1.284751293911074,0.4492869049050311,1.3862492585211585
0.0,0.4,18.94026418467353,3.014330021789434,6.767475613460695,0.0076,0.0534,0.939,0.632997218937378,0.7005579251695474,0.189,1.359899918727967,0.4492869049050311,1.3862492585211585
0.0,0.45,20.110031746608048,3.014330021789434,6.767475613460695,0.0056,0.04584,0.94856,0.647359401269799,0.7043080971873544,0.16952,1.4413098610347326,0.4492869049050311,1.3862492585211585
0.0,0.5,21.29455943241265,3.014330021789434,6.767475613460695,0.00444,0.03832,0.95724,0.6592196245294527,0.7071723541213806,0.15224,1.5291726871055182,0.4492869049050311,1.3862492585211585
0.0,0.55,22.599380120709704,3.014330021789434,6.767475613460695,0.0034,0.03268,0.96392,0.6760909648493072,0.7109146423313314,0.13792,1.6238679589329748,0.4492869049050311,1.3862492585211585
0.0,0.6,23.93728141277523,3.014330021789434,6.767475613460695,0.00276,0.02828,0.96896,0.6874852376166817,0.7132388373278682,0.1266,1.725668644799203,0.4492869049050311,1.3862492585211585
0.0,0.65,25.34006992878295,3.014330021789434,6.767475613460695,0.0024,0.024,0.9736,0.6981798811136553,0.7152828670579906,0.11592,1.834958994496731,0.4492869049050311,1.3862492585211585
0.0,0.7,26.76154610897414,3.014330021789434,6.767475613460695,0.00208,0.02092,0.977,0.7071723109768382,0.7169050150537342,0.10584,1.9517606847455362,0.4696993741198118,1.3862492585211585
0.0,0.75,28.258791424731356,3.014330021789434,6.767475613460695,0.00152,0.01824,0.98024,0.7168593680238536,0.7185596681628454,0.09832,2.076215091984023,0.49275796366805547,1.3862492585211585
0.0,0.8,29.867981733700027,3.014330021789434,6.767475613460695,0.00136,0.01636,0.98228,0.7302754094932092,0.7207026290816817,0.092,2.2088409159749736,0.5142467074440483,1.3862492585211585
0.0,0.85,31.390111513120484,3.014330021789434,6.767475613460695,0.00116,0.01484,0.984,0.7439129498678362,0.7227171380568924,0.08736,2.35024032273178,0.5351748452280007,1.3862492585211585
0.0,0.9,33.01200406150023,3.014330021789434,6.767475613460695,0.00104,0.0134,0.98556,0.7518889047146948,0.7238242213376009,0.08388,2.5008511576336296,0.5551475017488449,1.3862492585211585
