system,rule,strategy,cec,cec_gamma2,cec_gamma10,prob_ruin,mean_consumption,p5_consumption,cec_survival,prob_ruin_survival
us_social_security,fixed_real_rule,balanced_all_equity,1.0493326019515596,1.4078267280131356,0.7583757243745954,0.11702,1.7281313418640618,0.7074301859533327,1.0802399648634962,0.059103124660618414
us_social_security,fixed_real_rule,target_date_fund,0.9446112745066872,1.2155042145287012,0.7069383849931433,0.2202,1.4202319297920956,0.6301270171779352,0.9761485349812676,0.11246174181398336
us_social_security,fixed_real_rule,sixty_forty,0.8721035565230777,1.1060803998624447,0.6732040313279446,0.23958,1.2914387512734997,0.5845968296643519,0.8959679198642896,0.1324567743118415
us_social_security,fixed_real_rule,domestic_equity,0.883032681245246,1.1847127169450664,0.6687277357125657,0.25162,1.5289500373480285,0.579082851273215,0.9109086833274855,0.1466689301254733
us_social_security,fixed_real_rule,international_equity,1.1094293553441226,1.520942781605636,0.7843119031524511,0.09082,1.9032114005483318,0.7546308899428413,1.1409824311406103,0.04501579986172094
us_social_security,constant_percent at 4%,balanced_all_equity,1.129776498110558,1.595224270693742,0.8276601504952025,0.0,2.4076649546300413,0.7654432494665584,1.1348932054389578,0.0
us_social_security,constant_percent at 4%,target_date_fund,0.9580606993299128,1.2351966212543684,0.7375522816323224,0.0,1.4899072412905845,0.6496609531479254,0.9762673416922442,0.0
us_social_security,constant_percent at 4%,sixty_forty,0.889505903726855,1.151673147188166,0.6913045106553305,0.0,1.4640052886408887,0.6056478568506505,0.9022617423659558,0.0
us_social_security,constant_percent at 4%,domestic_equity,0.9203780859520733,1.2858162103216502,0.6959305524841788,0.0,2.06271671075449,0.6149440453165548,0.9328165388450838,0.0
us_social_security,constant_percent at 4%,international_equity,1.2191390291169464,1.7773042683197262,0.8707230288372185,0.0,2.8391343149713553,0.8326277758287447,1.2193161862073627,0.0
us_social_security,amortisation at 0%,balanced_all_equity,1.1919779636948156,1.729217439410403,0.8665727775580736,0.0,3.7055427555312668,0.8476496375263852,1.1832541713957065,0.0
us_social_security,amortisation at 0%,target_date_fund,1.024133790486841,1.3417345582495397,0.7742578564605964,0.0,1.9894343059941253,0.7149659887484179,1.0258210701251724,0.0
us_social_security,amortisation at 0%,sixty_forty,0.9374894739082433,1.2377980191067446,0.714938653627869,0.0,1.9925715915257287,0.64908378776276,0.93779393472317,0.0
us_social_security,amortisation at 0%,domestic_equity,0.9641274438797302,1.3764938316457564,0.7171447259612351,0.0,3.08081327605256,0.6570615030506048,0.9657579470288846,0.0
us_social_security,amortisation at 0%,international_equity,1.2751397476773185,1.9215488163412588,0.9058519388525429,0.0,4.504704212305475,0.922158165017218,1.265798306351206,0.0
us_social_security,amortisation at 2%,balanced_all_equity,1.238469240333833,1.7945978436061902,0.8898202100668666,0.0,3.384316611205049,0.8679785077490658,1.2464269677544497,0.0
us_social_security,amortisation at 2%,target_date_fund,1.0476490118615316,1.3764492756304023,0.7828658589697352,0.0,1.9040888317271911,0.7187374142194292,1.0642454413560531,0.0
