system,rule,gap_pct,standard_error,ci_low,ci_high,loo_low,loo_high,deletions,sign_survives_every_deletion,ci_excludes_zero
age_pension_matched,fixed_real_rule,-13.062279469971372,4.568642978727865,-22.016819708277986,-4.107739231664757,-13.534488757083029,-8.416759806806763,16,True,True
age_pension_matched,constant_percent at 4%,13.260965152759475,3.7046090347177163,5.999931444712751,20.5219988608062,11.146773779260899,15.211274284348942,16,True,True
age_pension_matched,amortisation at 0%,11.041088756740347,2.3859351171705105,6.3646559270861465,15.717521586394547,9.499736877558341,12.199538604124772,16,True,True
age_pension_matched,amortisation at 2%,13.676525253005334,2.4328588120997203,8.90812198128988,18.444928524720787,11.978249829970267,14.64180175389136,16,True,True
age_pension_matched,amortisation at 4%,16.895581896496424,2.7370516223831447,11.530960716625462,22.260203076367386,14.941610487280975,17.852416276460858,16,True,True
age_pension_matched,amortisation at 6%,19.693332594128865,3.294590520232791,13.235935174472594,26.150730013785136,17.420353687713195,20.898439376847143,16,True,True
age_pension_matched,amortisation at 8%,21.089771786586596,3.8497798973757553,13.544203187730115,28.635340385443076,18.56031707176211,22.620261873953208,16,True,True
age_pension_matched,amortisation at 10%,20.840029032112064,4.122004483817342,12.760900243830074,28.919157820394055,18.22362868295,22.57233440123172,16,True,True
australia_as_legislated,fixed_real_rule,-2.0753243036764513,10.345255591840623,-22.35202526368407,18.20137665633117,-3.535817215249626,6.222262816185031,16,False,False
australia_as_legislated,constant_percent at 4%,18.43113667591294,4.761320758679421,9.098947988901273,27.763325362924604,16.15306975214925,20.918703517159344,16,True,True
australia_as_legislated,amortisation at 0%,14.41473955516679,3.0961809393198445,8.346224914099896,20.483254196233684,12.784640487183552,15.984340329703484,16,True,True
australia_as_legislated,amortisation at 2%,17.555558455234156,3.084274223724542,11.510380976734053,23.600735933734256,15.713399454210109,18.85209286042693,16,True,True
australia_as_legislated,amortisation at 4%,21.43204182893157,3.2748132076666767,15.013407941904884,27.850675715958257,19.265071332983386,22.54644558277006,16,True,True
australia_as_legislated,amortisation at 6%,24.867443673409674,3.718343399064312,17.57949061124362,32.15539673557573,22.296006038226366,26.063069244804062,16,True,True
australia_as_legislated,amortisation at 8%,26.629322447139913,4.259796792986623,18.280120732886132,34.97852416139369,23.71432190677101,28.09097582833049,16,True,True
australia_as_legislated,amortisation at 10%,26.373926413618598,4.658691490150494,17.242891092923628,35.50496173431357,23.298535038170453,28.17688179730422,16,True,True
us_social_security,fixed_real_rule,11.086182249895549,2.3461834830330246,6.487662623150821,15.684701876640275,9.673989461687471,11.954826432178312,16,True,True
us_social_security,constant_percent at 4%,17.9232692563996,3.4995930166747766,11.064066943717037,24.782471569082162,15.752320616258109,19.402056239072408,16,True,True
us_social_security,amortisation at 0%,16.38889125298626,2.5205959368915165,11.448523216678886,21.32925928929363,14.628233995952877,17.193359533565157,16,True,True
us_social_security,amortisation at 2%,18.214137207387758,2.9229574012040427,12.485140701027834,23.94313371374768,16.237587414814737,19.208244187667113,16,True,True
us_social_security,amortisation at 4%,19.601366301885736,3.3597754584659723,13.016206403292431,26.186526200479044,17.419241408708274,20.86030584398657,16,True,True
us_social_security,amortisation at 6%,20.244360414136864,3.7515693034702617,12.891284579335151,27.59743624893858,17.904837113143568,21.78507803034584,16,True,True
us_social_security,amortisation at 8%,19.971778171737277,3.9781625946498393,12.174579486223593,27.768976857250962,17.56437388782379,21.710904639146978,16,True,True
us_social_security,amortisation at 10%,18.826847455709927,3.951825060657412,11.081270336821401,26.572424574598454,16.465694750826778,20.60766503566771,16,True,True
