system,assumed_return,cec,prob_ruin,mean_consumption,p5_consumption,median_bequest,median_wealth
us,0.0,1.1923039669895745,0.0,3.7179411026637186,0.849099088578961,0.0,21.16206811643291
us,0.02,1.2387380369046146,0.0,3.3934756613407218,0.8698792483435102,0.0,21.16206811643291
us,0.03,1.2517807467281035,0.0,3.2421974560983013,0.8705787603595581,0.0,21.16206811643291
us,0.04,1.2570385848389343,0.0,3.0995176774133437,0.8641473774775792,0.0,21.16206811643291
us,0.05,1.2542822792647186,0.0,2.966073428549334,0.8509145184503308,0.0,21.16206811643291
us,0.06,1.2437638383187526,0.0,2.842234487403607,0.8323313953353686,0.0,21.16206811643291
us,0.07,1.2261931195068054,0.0,2.7281219098585625,0.8092952905930394,0.0,21.16206811643291
us,0.08,1.2026484583824646,0.0,2.6236380092779528,0.782831567326743,0.0,21.16206811643291
us,0.1,1.1429704288178675,0.0,2.4422964221426704,0.7269661704877494,0.0,21.16206811643291
us,0.12,1.0754798663788434,0.0,2.2945025091245235,0.6731122902839071,0.0,21.16206811643291
au_pension_only,0.0,0.6940077379140247,0.0,3.1292829480662605,0.49130932486832796,0.0,21.16206811643291
au_pension_only,0.02,0.828168426264895,0.0,2.8243372704509855,0.5891602345117152,0.0,21.16206811643291
au_pension_only,0.03,0.8861179077490567,0.0,2.684647101995913,0.6291724033506807,0.0,21.16206811643291
au_pension_only,0.04,0.9347671518083257,0.0,2.5547871753327858,0.6614055840679721,0.0,21.16206811643291
au_pension_only,0.05,0.9720697161553551,0.0,2.435339557119476,0.6756316082565449,0.0,21.16206811643291
au_pension_only,0.06,0.9966670404176116,0.0,2.3265548471658204,0.6861596459746436,0.0,21.16206811643291
au_pension_only,0.07,1.008205114387587,0.0,2.2283741354880067,0.6796546333125676,0.0,21.16206811643291
au_pension_only,0.08,1.0074315593869352,0.0,2.1404505436503696,0.6602252198373959,0.0,21.16206811643291
au_pension_only,0.1,0.9763636154490128,0.0,1.9929539254285467,0.6090655455431779,0.0,21.16206811643291
au_pension_only,0.12,0.9216892348240702,0.0,1.8779754449883737,0.5615355157559503,0.0,21.16206811643291
au_as_legislated,0.0,0.9921391830094659,0.0,7.150063579615956,0.7581792330160187,0.0,49.32771241554566
au_as_legislated,0.02,1.1861869295053389,0.0,6.403653843473625,0.8507953353024578,0.0,49.32771241554566
au_as_legislated,0.03,1.2664352036161681,0.0,6.057420250711008,0.8827079399784011,0.0,49.32771241554566
au_as_legislated,0.04,1.3300782468407042,0.0,5.732331934154862,0.9043795146100183,0.0,49.32771241554566
au_as_legislated,0.05,1.3741134682936105,0.0,5.429959279777589,0.9175552316448929,0.0,49.32771241554566
au_as_legislated,0.06,1.3970855259236652,0.0,5.151199084093377,0.9246620410318429,0.0,49.32771241554566
au_as_legislated,0.07,1.3992658737193122,0.0,4.896388765934582,0.9277323320108284,0.0,49.32771241554566
au_as_legislated,0.08,1.3826135010392764,0.0,4.665290246908739,0.9260002709255647,0.0,49.32771241554566
au_as_legislated,0.1,1.306298088633208,0.0,4.270938920265831,0.8265724010281407,0.0,49.32771241554566
au_as_legislated,0.12,1.1984448446881915,0.0,3.9581353762775597,0.7130581109588175,0.0,49.32771241554566
