scale,equity,arm,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.015,0.0,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4845865289970413,0.6156309368956435,0.33024,0.49685685960349224,0.44696535850574537,1.3764607291220528
0.015,0.05,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4845432607024167,0.6156122905349738,0.29376,0.49709436746437363,0.44696535850574537,1.3764607291220528
0.015,0.1,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.482806526098173,0.6148592911457,0.259,0.4972002722026605,0.44696535850574537,1.3764607291220528
0.015,0.15,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4794640929673731,0.6133848146497232,0.22604,0.49716977354187125,0.44696535850574537,1.3764607291220528
0.015,0.2,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4737722742980963,0.6107956615278531,0.19856,0.49698588645345926,0.44696535850574537,1.3764607291220528
0.015,0.25,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.46385072789610643,0.6060377278563145,0.17544,0.49664763854530336,0.44696535850574537,1.3764607291220528
0.015,0.3,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4503896292998654,0.5990570554253057,0.15408,0.4961524406473643,0.44696535850574537,1.3764607291220528
0.015,0.35,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.43717033555895946,0.5915733738046267,0.1368,0.4955032461898713,0.44696535850574537,1.3764607291220528
0.015,0.4,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.4163500897026968,0.578422041076761,0.12264,0.49470042347714394,0.44696535850574537,1.3764607291220528
0.015,0.45,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.3898741832107915,0.5590734704439083,0.11092,0.4937321305965751,0.44696535850574537,1.3764607291220528
0.015,0.5,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.3621133293858549,0.5353655366732516,0.09972,0.49260707966398687,0.44696535850574537,1.3764607291220528
0.015,0.55,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.33669372183429513,0.5104273420410798,0.09072,0.491333727647776,0.44696535850574537,1.3764607291220528
0.015,0.6,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.3136696766869058,0.4851509263559136,0.08352,0.4898944183391459,0.44696535850574537,1.3764607291220528
0.015,0.65,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.2844618096873748,0.4495456818848946,0.07544,0.48827295634598006,0.44696535850574537,1.3764607291220528
0.015,0.7,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.2603405313024481,0.41740434600798254,0.06788,0.4864810266226259,0.43936628616125367,1.3764607291220528
0.015,0.75,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.23653606888670564,0.38357783493138375,0.06296,0.48451901662763575,0.4125915929926872,1.3764607291220528
0.015,0.8,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.21343392862183913,0.34908162694616507,0.0594,0.4823758087294059,0.38445837352149387,1.3764607291220528
0.015,0.85,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.18233064266334456,0.30063997940982223,0.05696,0.48008380388835004,0.3554043030044074,1.3764607291220528
0.015,0.9,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.15879434291927172,0.2628869710865889,0.0562,0.47765319341238205,0.3249155005315538,1.3764607291220528
0.015,0.95,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.1419682547241737,0.2354996206843037,0.0548,0.4750873585342448,0.2948736723524407,1.3764607291220528
0.015,1.0,pension from the day work stops,0.7245438035969703,3.014330021789434,6.767475613460695,0.96964,0.02844,0.00192,0.1287358050274312,0.21379475418155755,0.05508,0.4724097880644113,0.263762756036844,1.3764607291220528
0.03,0.0,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.4875180874920838,0.6168815484237635,0.33024,0.5325993677434364,0.44696535850574537,1.3764607291220528
0.03,0.05,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.4834361362991337,0.6151333026200476,0.29376,0.5321153736531118,0.44696535850574537,1.3764607291220528
0.03,0.1,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.4785040310269534,0.6129550656482909,0.259,0.5313256124669806,0.44696535850574537,1.3764607291220528
