household,household_label,homeowner,partnered,rule,scale,equity,free_area,cutoff,full_rate,cec,median_wealth,prob_ruin,mean_consumption,p5_consumption,position
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.0,3.014330021789434,6.767475613460695,0.29274535615035835,0.40585410001838795,1.1054709873460817,0.4568,0.4720833364815139,0.30375090830043966,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.1,3.014330021789434,6.767475613460695,0.29274535615035835,0.40132223458976124,1.1054709873460817,0.3815,0.47273041551827016,0.3033052774318809,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.2,3.014330021789434,6.767475613460695,0.29274535615035835,0.3897528970773787,1.1054709873460817,0.30575,0.47275591244048965,0.30249748247898023,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.3,3.014330021789434,6.767475613460695,0.29274535615035835,0.3715465150540542,1.1054709873460817,0.23995,0.47204461200456116,0.30113097049899856,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.4,3.014330021789434,6.767475613460695,0.29274535615035835,0.33809269496833183,1.1054709873460817,0.1916,0.47047792555260637,0.29921223334770386,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.5,3.014330021789434,6.767475613460695,0.29274535615035835,0.2898280723620175,1.1054709873460817,0.15755,0.46798993462949284,0.2966614680930596,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.6,3.014330021789434,6.767475613460695,0.29274535615035835,0.23977417587810024,1.1054709873460817,0.12995,0.4645263297085673,0.29345948474801326,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.7,3.014330021789434,6.767475613460695,0.29274535615035835,0.19569629524439544,1.1054709873460817,0.11,0.4600884512738631,0.28900407574714115,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.8,3.014330021789434,6.767475613460695,0.29274535615035835,0.15735509703329345,1.1054709873460817,0.0948,0.45480565896913866,0.28300516255563124,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,0.9,3.014330021789434,6.767475613460695,0.29274535615035835,0.12319181858223895,1.1054709873460817,0.0874,0.4487943307919426,0.25140710484026435,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.02,1.0,3.014330021789434,6.767475613460695,0.29274535615035835,0.10622761670240653,1.1054709873460817,0.083,0.44216302469387075,0.1867567254559926,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.04,0.0,3.014330021789434,6.767475613460695,0.29274535615035835,0.42476073282776716,2.2109419746921635,0.4568,0.5074425219152119,0.33034576571438246,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.04,0.1,3.014330021789434,6.767475613460695,0.29274535615035835,0.4170026890130949,2.2109419746921635,0.3815,0.5068241084491125,0.3267423327760249,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.04,0.2,3.014330021789434,6.767475613460695,0.29274535615035835,0.40088333283650235,2.2109419746921635,0.30575,0.5046473078173779,0.3218277960752275,below the free area
single_homeowner,"single, homeowner",True,False,constant_real,0.04,0.3,3.014330021789434,6.767475613460695,0.29274535615035835,0.36933084146934964,2.2109419746921635,0.23995,0.5006326074817069,0.3144772590612232,below the free area
