leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,claim_factor,arm
1.0,0.5499195211211076,0.19575,0.6278120195272322,100000,0.5760157428256316,50,0.4319793894559076,baseline
1.0,0.6214804633579016,0.18519,0.7371641967969815,100000,0.6475336728639702,52,0.48540657615634303,baseline
1.0,0.7121656505896223,0.16931,0.9328529220926473,100000,0.7304770572252465,55,0.5823445124780893,baseline
1.0,0.7600038837227656,0.15081,1.1782358779920983,100000,0.7665323492940009,58,0.7057252997566046,baseline
1.0,0.7667754469071097,0.1391,1.3731790781317388,100000,0.7678656645410843,60,0.8074954341699282,baseline
1.0,0.7588126334046232,0.12418,1.6008852274688483,100000,0.7570579295155583,62,0.9296188534715357,baseline
1.0,0.7510351359476126,0.11716,1.729325895179758,100000,0.7487154814732868,63,1.0,baseline
1.0,0.7291879097422662,0.0996,2.017560094834387,100000,0.7270077562331523,65,1.1638080752999713,baseline
1.0,0.7004127997882004,0.08261,2.357237941866144,100000,0.6996441233813822,67,1.3661461143788665,baseline
1.0,0.6491223711126378,0.05651,2.9832764687758457,100000,0.6519729267206943,70,1.771036874236366,baseline
1.0,0.7219462275564785,0.19575,0.8874525509344587,100000,0.7236576608395846,50,1.0,timing
1.0,0.7477707098860117,0.18519,0.9735795542121648,100000,0.7489621246508184,52,1.0,timing
1.0,0.7708538383035615,0.16931,1.1227528946162844,100000,0.770719645121309,55,1.0,timing
1.0,0.7753872297263241,0.15081,1.304204511210683,100000,0.7738778193192363,58,1.0,timing
1.0,0.7693268510507609,0.1391,1.444257463880203,100000,0.7672493200818523,60,1.0,timing
1.0,0.756411627901743,0.12418,1.6047608580097832,100000,0.7541628619364513,62,1.0,timing
1.0,0.747904479799174,0.11716,1.694098273848662,100000,0.7457632023115315,63,1.0,timing
1.0,0.7262836513411163,0.0996,1.890806310097945,100000,0.7248161148460787,65,1.0,timing
1.0,0.6984998517771376,0.08261,2.11713007786163,100000,0.6984350581007847,67,1.0,timing
1.0,0.6479524292537246,0.05651,2.483094093886656,100000,0.6512489243879673,70,1.0,timing
1.0,0.3199404449727416,0.19575,0.4931442470881005,100000,0.349069223451368,50,0.4319793894559076,formula
1.0,0.3648979219884989,0.18519,0.5503510596722879,100000,0.39841519190902874,52,0.48540657615634303,formula
1.0,0.43100178594058386,0.16931,0.6583344480214516,100000,0.4711255631714549,55,0.5823445124780893,formula
1.0,0.5022056381103245,0.15081,0.8014005743563832,100000,0.5471827433517069,58,0.7057252997566046,formula
1.0,0.5423219959235606,0.1391,0.9172571116174845,100000,0.5888767530212656,60,0.8074954341699282,formula
1.0,0.5803135190750868,0.12418,1.0535571748526473,100000,0.6233645438904372,62,0.9296188534715357,formula
1.0,0.5933758570249643,0.11716,1.130941098184238,100000,0.6350852213112357,63,1.0,formula
1.0,0.6175544578931691,0.0996,1.3038927219049479,100000,0.6519192903338406,65,1.1638080752999713,formula
1.0,0.6291565049848444,0.08261,1.5061402930165226,100000,0.6543161051196164,67,1.3661461143788665,formula
1.0,0.6178878424676564,0.05651,1.868213618971102,100000,0.6334337879660823,70,1.771036874236366,formula
1.0,0.31707852792289365,0.19575,0.4691578740101197,100000,0.3446991856073692,50,1.0,both
1.0,0.3615569875079306,0.18519,0.5315135692810257,100000,0.3933180344194145,52,1.0,both
1.0,0.4274541641731091,0.16931,0.645987312640521,100000,0.46571750971036646,55,1.0,both
1.0,0.4988136616215582,0.15081,0.794017413323788,100000,0.542131706159733,58,1.0,both
1.0,0.5395474262274405,0.1391,0.9123683702980917,100000,0.5848356233405209,60,1.0,both
1.0,0.5782660477180561,0.12418,1.050604604010829,100000,0.6205565212145832,62,1.0,both
1.0,0.5917883173233238,0.11716,1.1287723379808312,100000,0.6329551843446777,63,1.0,both
1.0,0.6168190889530619,0.0996,1.3029757130277873,100000,0.6510062255707966,65,1.0,both
1.0,0.6291565049848444,0.08261,1.5061402930165226,100000,0.6543161051196164,67,1.0,both
1.0,0.6178878424676564,0.05651,1.868213618971102,100000,0.6334337879660823,70,1.0,both
