system,rule,cec,prob_ruin,mean_consumption,p5_consumption,median_bequest,median_wealth
us,fixed_real_rule,1.049420699097129,0.11716,1.729325895179758,0.7082201746530576,45.20252739646395,21.16206811643291
us,replace_50,0.6057355410682688,0.02469,0.8522723773925988,0.4383022722141412,109.19587008478042,21.16206811643291
us,replace_75,0.6759425527233961,0.11731,1.1357800810405656,0.4537107387804046,79.84268834625581,21.16206811643291
us,replace_100,0.757818757818312,0.24759,1.3729376902559296,0.49993968757363993,50.24778331643675,21.16206811643291
au_pension_only,fixed_real_rule,0.42257752823788886,0.11716,1.1287723379808312,0.3405622119115704,45.20252739646395,21.16206811643291
au_pension_only,replace_50,0.341731676198201,0.1034,0.7550450005435569,0.25526221907270263,56.66830270123512,21.16206811643291
au_pension_only,replace_75,0.4916782965369695,0.26076,1.0136765475297376,0.3789190556755727,27.957429088376934,21.16206811643291
au_pension_only,replace_100,0.57818802573044,0.41025,1.189936522898115,0.4492869049050311,7.820795687097292,21.16206811643291
au_as_legislated,fixed_real_rule,0.724222517146528,0.11716,2.5201107358971084,0.45212169317535006,105.36480931828889,49.32771241554566
au_as_legislated,replace_50,0.3353911780163926,0.01931,0.7965058343568331,0.25002429604074894,220.57508434563448,49.32771241554566
au_as_legislated,replace_75,0.4990824108290882,0.06753,1.1617360120244726,0.3743381988622678,184.5181852823348,49.32771241554566
au_as_legislated,replace_100,0.6403344761549302,0.13362,1.4852102746462488,0.4492869049050311,150.80789078068247,49.32771241554566
