household,household_label,homeowner,partnered,rule,scale,equity,free_area,cutoff,full_rate,cec,median_wealth,prob_ruin,mean_consumption,p5_consumption,position
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.02,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.611223491855236,1.1054709873460817,0.0,0.7231394257505223,0.44320841765984315,below the free area
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.04,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.6562778793078538,2.2109419746921635,0.0,0.7736627678980658,0.47936289947572824,below the free area
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.07,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.7020153952897583,3.8691484557112865,0.0,0.8330196254898813,0.5335946221995558,below the free area
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.1,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.7311838267244455,5.52735493673041,0.0,0.8969225795532201,0.5878263449233834,inside the taper band
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.14,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.7585032850205392,7.738296911422573,0.0,1.001421276701138,0.6302368182330803,inside the taper band
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.2,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.7921437211773336,11.05470987346082,0.0,1.1959001649035033,0.6383204312231868,above the cut-off
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.28,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.8350298652442856,15.476593822845146,0.0,1.5023914537327103,0.6442587962489843,above the cut-off
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.4,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,0.900867435159022,22.10941974692164,0.0,2.016368208861494,0.6528446061519488,above the cut-off
couple_homeowner,"couple, homeowners",True,True,constant_percent,0.6,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,1.016510765999483,33.164129620382454,0.0,2.9341445283451733,0.6751717566949674,above the cut-off
couple_homeowner,"couple, homeowners",True,True,constant_percent,1.0,1.0,4.521495032684151,10.188744876107755,0.4420454877870411,1.2489652635259523,55.273549367304085,0.0,4.834397260325444,0.7811834921780801,above the cut-off
