system,rule,strategy,cec,cec_survival,prob_ruin,mean_consumption,p5_consumption
us_social_security,fixed_real_rule,balanced_all_equity,1.0479618872418284,1.0785104726241281,0.11592,1.7334946912291456,0.7060061347011013
us_social_security,fixed_real_rule,target_date_fund,0.9449159895762623,0.9761877399379453,0.21892,1.4228965458247633,0.6314716085587018
us_social_security,legislated minimum,balanced_all_equity,1.210121032522369,1.2094864635299298,0.0,2.925039208735169,0.8225291700848829
us_social_security,legislated minimum,target_date_fund,1.0183877800241306,1.0341337889403213,0.0,1.7185235104158871,0.6914458684035767
us_social_security,legislated minimum x1.5,balanced_all_equity,1.2440944568201897,1.2813884182099966,0.0,2.7588416006846823,0.8151428443402953
us_social_security,legislated minimum x1.5,target_date_fund,1.0293364723350187,1.0745419686497568,0.0,1.714629281310756,0.674386215789871
us_social_security,legislated minimum x2,balanced_all_equity,1.1809903685716123,1.2600902159527076,0.0,2.521440261048664,0.7449716358811861
us_social_security,legislated minimum x2,target_date_fund,0.9838938786842437,1.0549012812706866,0.0,1.6602476616412942,0.6270680309982226
age_pension_matched,fixed_real_rule,balanced_all_equity,0.4159074372399515,0.4453337149970984,0.11592,1.1375837625179384,0.3398425598252197
age_pension_matched,fixed_real_rule,target_date_fund,0.4755108619605084,0.5025286799240993,0.21892,0.8864899600440282,0.3725612013925447
age_pension_matched,legislated minimum,balanced_all_equity,0.8111917371031949,0.7937899480055237,0.0,2.3272976019718215,0.5704537928545939
age_pension_matched,legislated minimum,target_date_fund,0.7151553095807621,0.7073353515696911,0.0,1.1918432182114136,0.5330671857231399
age_pension_matched,legislated minimum x1.5,balanced_all_equity,0.9928978636768068,1.002335941339883,0.0,2.214521041086944,0.680888099417525
age_pension_matched,legislated minimum x1.5,target_date_fund,0.8370914368996383,0.8602235602027284,0.0,1.26156618373509,0.5697158162957079
age_pension_matched,legislated minimum x2,balanced_all_equity,1.0058340040240397,1.0651196654681803,0.0,2.043952982935554,0.6305793487412346
age_pension_matched,legislated minimum x2,target_date_fund,0.8320753788300183,0.8912392970097123,0.0,1.2671494920887092,0.5273404638303634
australia_as_legislated,fixed_real_rule,balanced_all_equity,0.6332876017515864,0.669557912827888,0.11592,2.2036376484604077,0.4492869049050311
australia_as_legislated,fixed_real_rule,target_date_fund,0.6423318149544522,0.6733438413656428,0.21892,1.6110038983559671,0.4492869049050311
australia_as_legislated,legislated minimum,balanced_all_equity,1.0551460671609882,1.0347678695740112,0.0,4.597118223126604,0.6939467112404129
australia_as_legislated,legislated minimum,target_date_fund,0.8956835786417197,0.890904403618616,0.0,2.195534349437233,0.5998704583221205
australia_as_legislated,legislated minimum x1.5,balanced_all_equity,1.2993526526912897,1.3209214894590005,0.0,4.289521570225843,0.8132339728070154
australia_as_legislated,legislated minimum x1.5,target_date_fund,1.0420856933411808,1.083589138427167,0.0,2.241238703617817,0.6811105940293868
australia_as_legislated,legislated minimum x2,balanced_all_equity,1.2915884900454504,1.3917294615759708,0.0,3.8605845507185057,0.815497641454162
australia_as_legislated,legislated minimum x2,target_date_fund,1.0139561299175885,1.106712132888676,0.0,2.1957558087796136,0.6069550939342022
