system,rule,gap_pct,replicates,boot_mean,boot_se,ci_low,ci_high,share_keeping_sign,excludes_zero
age_pension_matched,fixed_real_rule,-12.928185416976524,200,-12.611058507770226,4.776957207945749,-21.539281449668124,-3.1201901560966365,0.995,True
age_pension_matched,amortisation at 6%,19.535181652999366,200,19.19548668389268,2.618112998249899,14.274977365018618,23.414122425379926,1.0,True
australia_as_legislated,fixed_real_rule,-3.901822747367756,200,0.5368136235049812,6.040259960338796,-9.859458955951705,10.638350570076184,0.47,False
australia_as_legislated,amortisation at 6%,24.564037593702402,200,23.811524714954757,3.0253026131323675,18.21144468751317,29.263984011459314,1.0,True
us_social_security,fixed_real_rule,11.004403403001373,200,10.694968564359622,1.9110821580276434,7.173675764576488,14.030309451540571,1.0,True
us_social_security,amortisation at 6%,20.145817628202998,200,19.873981359397956,3.015642643942932,14.369941366630698,25.005946468856006,1.0,True
