retire_age,cec_baseline,cec_timing,cec_formula,cec_both,timing_effect,formula_effect,joint_effect,interaction,arms_coincide,timing_bites
50,0.5499195211211076,0.7219462275564785,0.3199404449727416,0.31707852792289365,0.17202670643537088,-0.22997907614836605,-0.232840993198214,-0.17488862348521883,False,True
52,0.6214804633579016,0.7477707098860117,0.3648979219884989,0.3615569875079306,0.12629024652811005,-0.25658254136940273,-0.25992347584997105,-0.12963118100867838,False,True
55,0.7121656505896223,0.7708538383035615,0.43100178594058386,0.4274541641731091,0.05868818771393913,-0.2811638646490385,-0.2847114864165132,-0.062235809481413884,False,True
58,0.7600038837227656,0.7753872297263241,0.5022056381103245,0.4988136616215582,0.015383346003558507,-0.25779824561244113,-0.2611902221012074,-0.018775322492324775,False,True
60,0.7667754469071097,0.7693268510507609,0.5423219959235606,0.5395474262274405,0.0025514041436511814,-0.22445345098354919,-0.2272280206796693,-0.005325973839771292,False,True
62,0.7588126334046232,0.756411627901743,0.5803135190750868,0.5782660477180561,-0.002401005502880249,-0.17849911432953647,-0.18054658568656712,0.00035353414584959886,False,True
63,0.7510351359476126,0.747904479799174,0.5933758570249643,0.5917883173233238,-0.0031306561484386597,-0.1576592789226483,-0.1592468186242888,0.001543116446798165,False,True
65,0.7291879097422662,0.7262836513411163,0.6175544578931691,0.6168190889530619,-0.0029042584011499395,-0.11163345184909712,-0.1123688207892043,0.0021688894610427667,False,True
67,0.7004127997882004,0.6984998517771376,0.6291565049848444,0.6291565049848444,-0.0019129480110627872,-0.07125629480335594,-0.07125629480335594,0.0019129480110627872,True,True
70,0.6491223711126378,0.6479524292537246,0.6178878424676564,0.6178878424676564,-0.0011699418589131705,-0.03123452864498144,-0.03123452864498144,0.0011699418589131705,True,True
