system,rule,reference_rule,difference_pp,standard_error,ci_low,ci_high,loo_low,loo_high,correlation,deletions,sign_survives_every_deletion,ci_excludes_zero
us_social_security,constant_percent at 4%,fixed_real_rule,6.837087006504051,1.341750450495983,4.207256123531924,9.466917889476179,6.0783311545706376,7.588887387942723,0.9713823764048177,16,True,True
us_social_security,amortisation at 0%,fixed_real_rule,5.30270900309071,0.47762836643583195,4.366557404876479,6.238860601304941,4.954244534265406,5.4358584397876015,0.9832840303643325,16,True,True
us_social_security,amortisation at 2%,fixed_real_rule,7.127954957492209,0.7358772289826782,5.68563558868616,8.570274326298257,6.563597953127266,7.383147129227563,0.9847730092218712,16,True,True
us_social_security,amortisation at 4%,fixed_real_rule,8.515184051990188,1.1342943826926712,6.291967061912552,10.738401042067824,7.745251947020803,8.905479411808258,0.9835553358179772,16,True,True
us_social_security,amortisation at 6%,fixed_real_rule,9.158178164241315,1.5405654016813273,6.138669976945914,12.177686351536718,8.230847651456097,9.855543636862453,0.9773779631202917,16,True,True
us_social_security,amortisation at 8%,fixed_real_rule,8.885595921841729,1.8082427399769472,5.341440151486912,12.429751692196545,7.89038442613632,9.855756872757016,0.9675156143621921,16,True,True
us_social_security,amortisation at 10%,fixed_real_rule,7.740665205814379,1.836920860577521,4.140300319082438,11.341030092546319,6.791705289139307,8.8388465786138,0.9570632786785676,16,True,True
age_pension_matched,constant_percent at 4%,fixed_real_rule,26.323244622730847,4.7157001708270645,17.0804722879098,35.566016957551895,22.31878706845625,26.767045784122146,0.36510405725587003,16,True,True
age_pension_matched,amortisation at 0%,fixed_real_rule,24.10336822671172,4.4367591996673985,15.407320195363619,32.79941625805982,19.756993033958217,24.132642732254794,0.31559845271340053,16,True,True
age_pension_matched,amortisation at 2%,fixed_real_rule,26.738804722976706,4.624987357685027,17.673829501914053,35.80377994403936,22.304123338414495,26.742229520122972,0.2429536219892701,16,True,True
age_pension_matched,amortisation at 4%,fixed_real_rule,29.957861366467796,4.875964857419386,20.400970245925798,39.514752487009794,25.48509070629954,30.044725424487716,0.18348898304116107,16,True,True
age_pension_matched,amortisation at 6%,fixed_real_rule,32.755612064100234,5.112287345453516,22.735528867011343,42.77569526118913,28.36361408831296,32.93740816918985,0.1857366077566985,16,True,True
age_pension_matched,amortisation at 8%,fixed_real_rule,34.15205125655797,5.279446805722961,23.804335517340967,44.49976699577497,29.911991153364493,34.46688211151816,0.22232844379539213,16,True,True
age_pension_matched,amortisation at 10%,fixed_real_rule,33.902308502083436,5.313603891115494,23.487644875497068,44.3169721286698,29.781142902195892,34.41895463879668,0.25565660241828664,16,True,True
australia_as_legislated,constant_percent at 4%,fixed_real_rule,20.50646097958939,10.060958900340243,0.7869815349225178,40.225940424256265,13.145767071938684,22.037969538285417,0.2890101739253382,16,True,True
australia_as_legislated,amortisation at 0%,fixed_real_rule,16.490063858843243,9.866619933385605,-2.8485112105925445,35.828638928279034,8.74316191546205,17.816103425736195,0.3006554765441587,16,True,False
australia_as_legislated,amortisation at 2%,fixed_real_rule,19.63088275891061,9.916335666823237,0.1948648519370657,39.06690066588415,11.665178808088926,20.915047264599597,0.28525092371222266,16,True,True
australia_as_legislated,amortisation at 4%,fixed_real_rule,23.50736613260802,10.00322088314474,3.9010532016443307,43.11367906357171,15.322143233485617,24.741085393152197,0.2609935622229018,16,True,True
australia_as_legislated,amortisation at 6%,fixed_real_rule,26.942767977086127,10.07940161029459,7.187140820908731,46.698395133263524,18.698750816853348,28.11383948483651,0.25029177642244643,16,True,True
australia_as_legislated,amortisation at 8%,fixed_real_rule,28.704646750816366,10.134605897770005,8.840819191187158,48.56847431044557,20.58536461314811,29.85800471165563,0.25482884800371436,16,True,True
australia_as_legislated,amortisation at 10%,fixed_real_rule,28.44925071729505,10.152292259407002,8.550757888857326,48.347743545732776,20.529585320208234,29.592421206253675,0.2661945531077444,16,True,True
