bridge,retire_age,cec_baseline,cec_timing,timing_effect,cec_formula,cec_both,joint_effect,interaction
0.0,50,0.5499195211211076,0.0006495479722572934,-0.5492699731488504,0.3199404449727416,0.0006495479722550775,-0.5492699731488526,0.22997907614836383
0.0,52,0.6214804633579016,0.000761431319806999,-0.6207190320380946,0.3648979219884989,0.0007614313198041165,-0.6207190320380975,0.25658254136939984
0.0,55,0.7121656505896223,0.0010189108452640307,-0.7111467397443583,0.43100178594058386,0.0010189108452577636,-0.7111467397443646,0.28116386464903215
0.0,58,0.7600038837227656,0.001476204229160709,-0.7585276794936049,0.5022056381103245,0.0014762042291402448,-0.7585276794936253,0.2577982456124207
0.0,60,0.7667754469071097,0.003660349531476238,-0.7631150973756335,0.5423219959235606,0.0036603495301503245,-0.7631150973769594,0.22445345098222336
0.0,62,0.7588126334046232,0.48347683973023176,-0.2753357936743915,0.5803135190750868,0.45287233496886437,-0.3059402984357589,0.14789460956816908
0.0,63,0.7510351359476126,0.5310459084804058,-0.21998922746720684,0.5933758570249643,0.49062822416894064,-0.260406911778672,0.11724159461118316
0.0,65,0.7291879097422662,0.5958521048225895,-0.13333580491967667,0.6175544578931691,0.5471869393089547,-0.18200097043331154,0.06296828633546225
0.0,67,0.7004127997882004,0.6984998517771376,-0.0019129480110627872,0.6291565049848444,0.6291565049848444,-0.07125629480335594,0.0019129480110627872
0.0,70,0.6491223711126378,0.6479524292537246,-0.0011699418589131705,0.6178878424676564,0.6178878424676564,-0.03123452864498144,0.0011699418589131705
0.3,50,0.5499195211211076,0.5503865503680399,0.0004670292469322046,0.3199404449727416,0.3072961570616479,-0.24262336405945972,-0.013111317158025881
0.3,52,0.6214804633579016,0.6005025080527072,-0.020977955305194418,0.3648979219884989,0.35056257159081994,-0.2709178917670817,0.006642604907515448
0.3,55,0.7121656505896223,0.6692648750232925,-0.042900775566329874,0.43100178594058386,0.41638384508273557,-0.29578180550688676,0.028282834708481586
0.3,58,0.7600038837227656,0.7172746361559211,-0.042729247566844486,0.5022056381103245,0.48852262901840127,-0.27148125470436435,0.02904623847492127
0.3,60,0.7667754469071097,0.7344574913858178,-0.03231795552129191,0.5423219959235606,0.5313044479081672,-0.23547099899894253,0.021300407505898566
0.3,62,0.7588126334046232,0.737920353679595,-0.020892279725028273,0.5803135190750868,0.5720758728970007,-0.18673676050762256,0.012654633546942184
0.3,63,0.7510351359476126,0.7352442021277111,-0.015790933819901487,0.5933758570249643,0.5869175057527962,-0.1641176301948164,0.009332582547733392
0.3,65,0.7291879097422662,0.7217953028220262,-0.007392606920240019,0.6175544578931691,0.6144794209441558,-0.11470848879811046,0.004317569971226676
0.3,67,0.7004127997882004,0.6984998517771376,-0.0019129480110627872,0.6291565049848444,0.6291565049848444,-0.07125629480335594,0.0019129480110627872
0.3,70,0.6491223711126378,0.6479524292537246,-0.0011699418589131705,0.6178878424676564,0.6178878424676564,-0.03123452864498144,0.0011699418589131705
0.6,50,0.5499195211211076,0.7219462275564785,0.17202670643537088,0.3199404449727416,0.31707852792289365,-0.232840993198214,-0.17488862348521883
0.6,52,0.6214804633579016,0.7477707098860117,0.12629024652811005,0.3648979219884989,0.3615569875079306,-0.25992347584997105,-0.12963118100867838
0.6,55,0.7121656505896223,0.7708538383035615,0.05868818771393913,0.43100178594058386,0.4274541641731091,-0.2847114864165132,-0.062235809481413884
0.6,58,0.7600038837227656,0.7753872297263241,0.015383346003558507,0.5022056381103245,0.4988136616215582,-0.2611902221012074,-0.018775322492324775
0.6,60,0.7667754469071097,0.7693268510507609,0.0025514041436511814,0.5423219959235606,0.5395474262274405,-0.2272280206796693,-0.005325973839771292
0.6,62,0.7588126334046232,0.756411627901743,-0.002401005502880249,0.5803135190750868,0.5782660477180561,-0.18054658568656712,0.00035353414584959886
0.6,63,0.7510351359476126,0.747904479799174,-0.0031306561484386597,0.5933758570249643,0.5917883173233238,-0.1592468186242888,0.001543116446798165
0.6,65,0.7291879097422662,0.7262836513411163,-0.0029042584011499395,0.6175544578931691,0.6168190889530619,-0.1123688207892043,0.0021688894610427667
